EMOT|SIT
3|when -PRON- father do not get back from Chipata on time , -PRON- be thus á hold back progress as everything depend on -PRON- .   -PRON- feel á angry over -PRON- action .
3|during the Christmas holdiday -PRON- want to invite -PRON- brother , -PRON- á girlfriend and -PRON- child for dinner . when -PRON- say to -PRON- á brother 's girlfriend that -PRON- would like -PRON- to come at -PRON- place á for dinner , -PRON- refuse and never mention -PRON- again as if -PRON- á have never ask -PRON- .
3|when a man , a stranger to -PRON- , personally insult a close woman á friend of mine in public .
5|-PRON- see in an ice - cream kiosque a cockroach walk through a á cornet .
4|when one of -PRON- cat die of a disease .
1|a night spend with a group of friend .
5|one of -PRON- good friend tell people something -PRON- have tell -PRON- á in confidence about someone else .
3|when -PRON- see a car run over a child , out of carelessness .
4|when -PRON- be young -PRON- be very good in apparatus gymnastic . -PRON- á always win in competition , but once -PRON- be only at the fourth á place .
7|-PRON- mother always evoke feeling of guilt in -PRON- . for instance á when -PRON- miss the last bus -PRON- know -PRON- will be concern for -PRON- and á stay awake till -PRON- arrive .
3|"-PRON- feel anger of a friend when -PRON- meet \a date\ "" and become nervous á"
2|when for the first time -PRON- ride on a motorcycle with -PRON- brother .   á -PRON- be go so fast that -PRON- feel that -PRON- would fall off without -PRON- á brother realize -PRON- .
1|a friend of -PRON- travel very far . -PRON- miss -PRON- but feel joy too á because fer life be take the right direction as -PRON- want . so -PRON- á feel joy for -PRON- mainly .
1|-PRON- boyfriend and -PRON- be get dress up and put make - up á on to go to a Halloween Party . -PRON- be dress up to be two á mime . -PRON- be very enjoyable and -PRON- think -PRON- look really good , á -PRON- be an accomplishment . -PRON- be alone in -PRON- house .
1|-PRON- feel joy when -PRON- two twin sister be bear .
5|-PRON- see a terrible accident in which the driver of a motor be á throw through the frontwindow of a car . -PRON- face be completely á away .
4|when -PRON- hear the news of the death of -PRON- father .   -PRON- be in the á evening and -PRON- be alone all night in -PRON- room try to remember á the face of -PRON- father .
1|-PRON- be at school whhen -PRON- receive a letter from the dean of -PRON- á school congratulate -PRON- for -PRON- performance at the previous á year 's exam .
3|-PRON- have to unscrew something on -PRON- car . -PRON- do not succeed after two á afternoon of try . a feeling of anger build up -PRON- .
2|-PRON- be spend -PRON- summer holiday in a village .   -PRON- friend and -PRON- á be come back from a discotheque at night and -PRON- hear a noise á from an alley .   -PRON- be very scared and -PRON- get into -PRON- friend 's house . á   a moment later , an unknown car pick up a person from this á alley .
1|when -PRON- pass the 12th standard board exam .
4|be misunderstand by friend .
7|beat -PRON- brother up .
2|the time -PRON- drive -PRON- uncle 's car , without have ask for -PRON- á permission .   -PRON- be the first time that -PRON- be drive a car .
6|the people on -PRON- floor last year be very close . this year 4 of á -PRON- good friend live together in an apartment . -PRON- boyfriend and á -PRON- drop by on one of -PRON- birthday and stay for dinner . two á other people have already be invite and -PRON- feel uncomfortable á and unwanted . then -PRON- realize -PRON- be the one who always call á -PRON- and -PRON- rarely call -PRON- .
5|-PRON- feel disgusted when -PRON- go to one of the central hospital á where -PRON- hope of get good treatment be turn down by one of á the doctor who say -PRON- be alright despite -PRON- feeling pain .
2|-PRON- be in the Korean War . -PRON- be attack with mortar , -PRON- and á companion . -PRON- stop the jeep and run for cover . fortunately á neither of -PRON- be hit but -PRON- both come close to be kill .
6|-PRON- be ashamed at be the only one to have get a c+ in ED120 á assignment .
7|-PRON- feel guilty when -PRON- spend a night at -PRON- boyfriend 's place , á particularly because -PRON- have be harsh and spiteful when -PRON- have á leave home .   the reason be that -PRON- fear a possible discussion on á the subject and -PRON- want to leave defiantly .
5|when an uncle of -PRON- who be very ill start to cough wich á sound very dirty . ( -PRON- can not help -PRON- of course ) .
5|in secondary school -PRON- have a class - mate who talk too much .    á once -PRON- go to the cinema after school and -PRON- sit next to -PRON- and á comment the movie throughout   - very disgusting .
4|-PRON- be very sad   when -PRON- get the XIIth standard result , when -PRON- get á low mark as compare to -PRON- friend and -PRON- could not get admission á to course like medicine .
2|-PRON- be some year ago when one evening some people come home and á tell -PRON- -PRON- father be badly injure in an accident .
5|-PRON- feel disgust when -PRON- see a friend walk in stagnant water á without put on gum boot .
